Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ERY,24.78,2024/09/18,13:02 EDT,-0.21999931,25.14,25.1451,24.72,254426,19691231,,,,,,
USLV,66.52,2020/07/02,16:00 EDT,-0.6100006,65.612,68.0,65.0772,559183,19691231,,,,,,
DSLV,9.39,2020/07/02,16:00 EDT,0.13000011,9.47,9.565,9.184,360885,19691231,,,,,,
DUST,5.5536,2024/09/18,13:03 EDT,0.053599834,5.45,5.6,5.39,7038445,19691231,,,,,,
NUGT,48.75,2024/09/18,13:03 EDT,-0.49000168,49.75,50.1399,48.39,864531,19691231,,,,,,
JNUG,46.38,2024/09/18,13:03 EDT,-0.66999817,47.62,47.86,45.949,397154,19691231,,,,,,
JDST,27.87,2024/09/18,13:03 EDT,0.38000107,27.15,28.12,27.0186,350142,19691231,,,,,,
GASL,6.34,2020/03/27,15:59 EDT,0.0,7.52,7.5,6.22,438240,19691231,,,,,,
GASX,16.0,2020/03/27,16:00 EDT,0.0,14.71,15.9999,14.588,104464,19691231,,,,,,
GUSH,28.6999,2024/09/18,13:01 EDT,0.25989914,28.33,28.87,28.27,303643,19691231,,,,,,
DRIP,11.44,2024/09/18,13:03 EDT,-0.10000038,11.64,11.615,11.3703,1232705,19691231,,,,,,
GAAEX,5.78,2024/09/18,08:06 EDT,0.09,,,,,,,,,,,
